Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,32,SA,4900.8,1088420.0,1.0,0.9999
5,32,SA,4901.6,1112940.0,1.0,0.99999
5,32,SA,4895.8,1045600.0,10.0,0.9
5,32,SA,4888.4,1050620.0,10.0,0.99
5,32,SA,4883.0,1096540.0,10.0,0.999
5,32,SA,4881.0,1058240.0,10.0,0.9999
5,32,SA,4889.6,1071620.0,10.0,0.99999
5,32,SA,4894.0,1066100.0,100.0,0.9
5,32,SA,4884.4,1054020.0,100.0,0.99
5,32,SA,4881.8,1091860.0,100.0,0.999
5,32,SA,4887.2,1144100.0,100.0,0.9999
5,32,SA,4883.4,1060220.0,100.0,0.99999
5,32,SA,4882.4,1087500.0,1000.0,0.9
5,32,SA,4880.6,1048520.0,1000.0,0.99
5,32,SA,4893.0,1057880.0,1000.0,0.999
5,32,SA,4881.8,1217580.0,1000.0,0.9999
5,32,SA,4883.4,1069880.0,1000.0,0.99999
5,32,SA,4880.6,1101840.0,10000.0,0.9
5,32,SA,4884.0,1067420.0,10000.0,0.99
5,32,SA,4884.4,1064340.0,10000.0,0.999
5,32,SA,4884.2,1057520.0,10000.0,0.9999
5,32,SA,4886.0,1129200.0,10000.0,0.99999
5,32,SA,4882.2,1031960.0,100000.0,0.9
5,32,SA,4890.0,1055480.0,100000.0,0.99
5,32,SA,4889.0,1273060.0,100000.0,0.999
5,32,SA,4879.4,1044780.0,100000.0,0.9999
5,32,SA,4889.8,1154900.0,100000.0,0.99999
5,64,SA,4912.0,2696300.0,0.1,0.9
5,64,SA,4916.6,2679160.0,0.1,0.99
5,64,SA,4914.2,2132900.0,0.1,0.999
5,64,SA,4910.8,2211340.0,0.1,0.9999
5,64,SA,4912.2,2177800.0,0.1,0.99999
5,64,SA,4914.2,2134560.0,1.0,0.9
5,64,SA,4915.6,2188400.0,1.0,0.99
5,64,SA,4909.4,2216560.0,1.0,0.999
5,64,SA,4908.6,2117240.0,1.0,0.9999
5,64,SA,4903.0,2112480.0,1.0,0.99999
5,64,SA,4911.6,2232900.0,10.0,0.9
5,64,SA,4890.8,2367080.0,10.0,0.99
5,64,SA,4893.4,2239200.0,10.0,0.999
5,64,SA,4886.0,2157880.0,10.0,0.9999
5,64,SA,4894.8,2161140.0,10.0,0.99999
5,64,SA,4899.8,2174520.0,100.0,0.9
5,64,SA,4887.0,2130060.0,100.0,0.99
5,64,SA,4890.2,2099580.0,100.0,0.999
5,64,SA,4884.2,2162600.0,100.0,0.9999
5,64,SA,4884.2,2111160.0,100.0,0.99999
5,64,SA,4884.8,2081440.0,1000.0,0.9
5,64,SA,4883.8,2149520.0,1000.0,0.99
5,64,SA,4879.4,2067720.0,1000.0,0.999
5,64,SA,4887.8,2093900.0,1000.0,0.9999
5,64,SA,4885.2,2055960.0,1000.0,0.99999
5,64,SA,4880.2,2078900.0,10000.0,0.9
5,64,SA,4878.8,2095140.0,10000.0,0.99
5,64,SA,4886.4,2198260.0,10000.0,0.999
5,64,SA,4883.2,2139320.0,10000.0,0.9999
5,64,SA,4884.0,2278280.0,10000.0,0.99999
5,64,SA,4882.6,2075600.0,100000.0,0.9
5,64,SA,4878.6,2153140.0,100000.0,0.99
5,64,SA,4881.6,2097540.0,100000.0,0.999
5,64,SA,4887.2,2058040.0,100000.0,0.9999
5,64,SA,4883.6,2085360.0,100000.0,0.99999
5,128,SA,4925.8,4178260.0,0.1,0.9
5,128,SA,4921.4,4281380.0,0.1,0.99
5,128,SA,4921.8,4167080.0,0.1,0.999
5,128,SA,4923.0,4329800.0,0.1,0.9999
5,128,SA,4922.8,4648600.0,0.1,0.99999
5,128,SA,4923.6,4405160.0,1.0,0.9
5,128,SA,4923.4,4904740.0,1.0,0.99
5,128,SA,4915.2,4505060.0,1.0,0.999
5,128,SA,4910.8,4339100.0,1.0,0.9999
5,128,SA,4911.0,4225420.0,1.0,0.99999
5,128,SA,4921.4,4391880.0,10.0,0.9
5,128,SA,4898.0,4383780.0,10.0,0.99
5,128,SA,4891.4,4271300.0,10.0,0.999
5,128,SA,4888.4,4265040.0,10.0,0.9999
5,128,SA,4886.6,4255500.0,10.0,0.99999
5,128,SA,4923.2,4215960.0,100.0,0.9
5,128,SA,4874.0,4476560.0,100.0,0.99
5,128,SA,4885.0,4360180.0,100.0,0.999
5,128,SA,4888.6,4315360.0,100.0,0.9999
5,128,SA,4883.6,4442700.0,100.0,0.99999
5,128,SA,4917.0,4280320.0,1000.0,0.9
5,128,SA,4888.8,4242220.0,1000.0,0.99
5,128,SA,4883.8,4348380.0,1000.0,0.999
5,128,SA,4879.4,4316060.0,1000.0,0.9999
5,128,SA,4879.4,4450700.0,1000.0,0.99999
5,128,SA,4910.0,4469060.0,10000.0,0.9
5,128,SA,4882.6,4398420.0,10000.0,0.99
5,128,SA,4887.2,4259980.0,10000.0,0.999
5,128,SA,4881.2,4988940.0,10000.0,0.9999
5,128,SA,4888.6,5770660.0,10000.0,0.99999
5,128,SA,4901.6,4358280.0,100000.0,0.9
5,128,SA,4883.8,4348920.0,100000.0,0.99
5,128,SA,4883.0,4212040.0,100000.0,0.999
