Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,2048,SA,246.8,1817420.0,1000.0,0.999
5,2048,SA,250.2,1783060.0,1000.0,0.9999
5,2048,SA,401.4,1878200.0,10000.0,0.9
5,2048,SA,377.2,1718500.0,10000.0,0.99
5,2048,SA,256.0,1788700.0,10000.0,0.999
5,2048,SA,247.0,1825700.0,10000.0,0.9999
5,4096,SA,436.0,3727920.0,0.1,0.9
5,4096,SA,440.4,3673680.0,0.1,0.99
5,4096,SA,436.4,3496420.0,0.1,0.999
5,4096,SA,436.6,3519860.0,0.1,0.9999
5,4096,SA,434.2,3695160.0,1.0,0.9
5,4096,SA,433.2,3633200.0,1.0,0.99
5,4096,SA,438.0,3448360.0,1.0,0.999
5,4096,SA,391.0,3393460.0,1.0,0.9999
5,4096,SA,436.6,3830760.0,10.0,0.9
5,4096,SA,431.8,3652380.0,10.0,0.99
5,4096,SA,405.8,3480280.0,10.0,0.999
5,4096,SA,257.8,3558720.0,10.0,0.9999
5,4096,SA,434.0,3857380.0,100.0,0.9
5,4096,SA,435.8,3669740.0,100.0,0.99
5,4096,SA,310.6,3554880.0,100.0,0.999
5,4096,SA,252.0,3563700.0,100.0,0.9999
5,4096,SA,437.2,3790100.0,1000.0,0.9
5,4096,SA,428.2,3552600.0,1000.0,0.99
5,4096,SA,252.0,3575560.0,1000.0,0.999
5,4096,SA,247.0,3696000.0,1000.0,0.9999
5,4096,SA,437.0,3838960.0,10000.0,0.9
5,4096,SA,423.4,3581980.0,10000.0,0.99
5,4096,SA,252.2,3649620.0,10000.0,0.999
5,4096,SA,247.6,3505080.0,10000.0,0.9999
